Квартал впечатлений «Эстет»;Ростов-на-Дону;от 4,4 млн. ₽
Архитектурный квартал «Первый»;Ставрополь;от 3,2 млн. ₽
Клубный квартал «Печорин»;Кисловодск;от 9 млн. ₽
Культурный квартал «Эрмитаж»;Краснодар;от 8,6 млн. ₽
Квартал на Шолохова «Сияние»;Ростов-на-Дону;от 4,3 млн. ₽
Квартал у реки «Левобережье»;Ростов-на-Дону;от 5,2 млн. ₽
Жилой комплекс «61 Квартал»;Ростов-на-Дону;от 4 млн. ₽
Умный квартал «Smartpolét»;Ростов-на-Дону;от 4,6 млн. ₽
Дом со стилем «Персона»;Ростов-на-Дону;от 4,3 млн. ₽
Жилой комплекс «Движение61»;Ростов-на-Дону;от 4,4 млн. ₽
Клубный квартал «Архитектор»;Краснодар;от 6,3 млн. ₽
Семейный квартал «Достояние»;Краснодар;от 6,2 млн. ₽
Жилой комплекс «Кварталы 17/77»;Ставрополь;от  4,3 млн. ₽
Жилой квартал «Основа»;Ставрополь;от 3,8 млн. ₽
Коллекционный дом «Резиденция»;Мариуполь;от 7 млн. ₽
Коллекционный дом «Резиденция II»;Мариуполь;от 6,7 млн. ₽
